mode,route_name,stop_count,trip_count
Tram,19,68,5500
Tram,58,105,4780
Tram,96,75,4690
Tram,86,201,4601
Tram,59,93,4559
Tram,57,79,4222
Tram,109,131,4192
Tram,12,101,4096
Tram,70,118,4049
Tram,1,95,4046
Tram,6,140,4011
Tram,11,95,3904
Train,Sunbury,34,3901
Tram,75,150,3899
Tram,48,109,3607
Tram,72,127,3544
Tram,16,150,3490
Tram,3,137,3460
Tram,67,128,3353
Train,Frankston,71,3265
Tram,64,122,3245
Tram,30,31,3119
Tram,5,91,3026
Bus,732,126,2927
Tram,78,56,2904
Tram,82,61,2756
Bus,246,88,2702
Bus,601,3,2680
Train,Werribee,36,2462
Bus,216,87,2434
Bus,220,92,2428
Bus,907,93,2348
Train,Lilydale,67,2274
Train,Pakenham,53,2207
Train,Sandringham,30,2141
Bus,223,49,2093
Train,Mernda,54,2009
Train,Replacement Bus,12,1973
Train,Hurstbridge,52,1965
Bus,905,88,1950
Train,Cranbourne,42,1917
Train,Glen Waverley,41,1894
Train,Williamstown,24,1887
Bus,906,99,1864
Train,Upfield,37,1850
Bus,703,177,1832
Bus,235,42,1829
Bus,908,80,1819
Train,Craigieburn,49,1759
Bus,237,29,1680
Train,Alamein,35,1676
Train,Belgrave,71,1568
Bus,604,57,1559
Bus,552,110,1549
Bus,279,102,1529
Bus,901,444,1517
Bus,603,82,1508
Bus,234,44,1500
Bus,508,85,1498
Bus,305,98,1481
Bus,270,71,1464
Bus,506,62,1444
Bus,733,150,1389
Bus,1,123,1356
Bus,232,28,1310
Train,Replacement Bus,16,1286
Bus,567,97,1281
Bus,22,118,1274
Bus,235,42,1267
Bus,505,32,1259
Bus,902,367,1234
Bus,546,74,1223
Bus,20,44,1205
Bus,364,105,1196
Bus,767,139,1187
Bus,23,38,1158
Bus,25,69,1144
Bus,901,444,1139
Bus,630,105,1134
Bus,271,118,1133
